Re, Im, Closest
-4.000000, -4.000000, 1
-3.992000, -4.000000, 1
-3.984000, -4.000000, 1
-3.976000, -4.000000, 1
-3.968000, -4.000000, 1
-3.960000, -4.000000, 1
-3.952000, -4.000000, 1
-3.944000, -4.000000, 1
-3.936000, -4.000000, 1
-3.928000, -4.000000, 1
-3.920000, -4.000000, 1
-3.912000, -4.000000, 1
-3.904000, -4.000000, 1
-3.896000, -4.000000, 1
-3.888000, -4.000000, 1
-3.880000, -4.000000, 1
-3.872000, -4.000000, 1
-3.864000, -4.000000, 1
-3.856000, -4.000000, 1
-3.848000, -4.000000, 1
-3.840000, -4.000000, 1
-3.832000, -4.000000, 1
-3.824000, -4.000000, 1
-3.816000, -4.000000, 1
-3.808000, -4.000000, 1
-3.800000, -4.000000, 1
-3.792000, -4.000000, 1
-3.784000, -4.000000, 1
-3.776000, -4.000000, 1
-3.768000, -4.000000, 1
-3.760000, -4.000000, 1
-3.752000, -4.000000, 1
-3.744000, -4.000000, 1
-3.736000, -4.000000, 1
-3.728000, -4.000000, 1
-3.720000, -4.000000, 1
-3.712000, -4.000000, 1
-3.704000, -4.000000, 1
-3.696000, -4.000000, 1
-3.688000, -4.000000, 1
-3.680000, -4.000000, 1
-3.672000, -4.000000, 1
-3.664000, -4.000000, 1
-3.656000, -4.000000, 1
-3.648000, -4.000000, 1
-3.640000, -4.000000, 1
-3.632000, -4.000000, 1
-3.624000, -4.000000, 1
-3.616000, -4.000000, 1
-3.608000, -4.000000, 1
-3.600000, -4.000000, 1
-3.592000, -4.000000, 1
-3.584000, -4.000000, 1
-3.576000, -4.000000, 1
-3.568000, -4.000000, 1
-3.560000, -4.000000, 1
-3.552000, -4.000000, 1
-3.544000, -4.000000, 1
-3.536000, -4.000000, 1
-3.528000, -4.000000, 1
-3.520000, -4.000000, 1
-3.512000, -4.000000, 1
-3.504000, -4.000000, 1
-3.496000, -4.000000, 1
-3.488000, -4.000000, 1
-3.480000, -4.000000, 1
-3.472000, -4.000000, 1
-3.464000, -4.000000, 1
-3.456000, -4.000000, 1
-3.448000, -4.000000, 1
-3.440000, -4.000000, 1
-3.432000, -4.000000, 1
-3.424000, -4.000000, 1
-3.416000, -4.000000, 1
-3.408000, -4.000000, 1
-3.400000, -4.000000, 1
-3.392000, -4.000000, 1
-3.384000, -4.000000, 1
-3.376000, -4.000000, 1
-3.368000, -4.000000, 1
-3.360000, -4.000000, 1
-3.352000, -4.000000, 1
-3.344000, -4.000000, 1
-3.336000, -4.000000, 1
-3.328000, -4.000000, 1
-3.320000, -4.000000, 1
-3.312000, -4.000000, 1
-3.304000, -4.000000, 1
-3.296000, -4.000000, 1
-3.288000, -4.000000, 1
-3.280000, -4.000000, 1
-3.272000, -4.000000, 1
-3.264000, -4.000000, 1
-3.256000, -4.000000, 1
-3.248000, -4.000000, 1
-3.240000, -4.000000, 1
-3.232000, -4.000000, 1
-3.224000, -4.000000, 1
-3.216000, -4.000000, 1
-3.208000, -4.000000, 1
-3.200000, -4.000000, 1
-3.192000, -4.000000, 1
-3.184000, -4.000000, 1
-3.176000, -4.000000, 1
-3.168000, -4.000000, 1
-3.160000, -4.000000, 1
-3.152000, -4.000000, 1
-3.144000, -4.000000, 1
-3.136000, -4.000000, 1
-3.128000, -4.000000, 1
-3.120000, -4.000000, 1
-3.112000, -4.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
